IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
59,1,,,-121.9331898,47.5260679,2025-12-11 22:55:17.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-102.500000,,,,,,,NR SA,,,,,,,,,,,,,,,,
60,1,,,-121.9331898,47.5260679,2025-12-11 22:55:18.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.400000,,,,,,,NR SA,,,,,,,,,,,,,,,,
61,1,,,-121.9331898,47.5260679,2025-12-11 22:55:19.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-102.420000,,,,,,,NR SA,,,,,,,,,,,,,,,,
62,1,,,-121.9331898,47.5260679,2025-12-11 22:55:20.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-102.700000,,,,,,,NR SA,,,,,,,,,,,,,,,,
63,1,,,-121.9331898,47.5260679,2025-12-11 22:55:21.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-106.330000,,,,,,,NR SA,,,,,,,,,,,,,,,,
64,1,,,-121.9331898,47.5260679,2025-12-11 22:55:22.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-106.240000,,,,,,,NR SA,,,,,,,,,,,,,,,,
65,1,,,-121.9331898,47.5260679,2025-12-11 22:55:23.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-108.110000,,,,,,,NR SA,,,,,,,,,,,,,,,,
66,1,,,-121.9331898,47.5260679,2025-12-11 22:55:24.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-107.160000,,,,,,,NR SA,,,,,,,,,,,,,,,,
67,1,,,-121.9331898,47.5260679,2025-12-11 22:55:25.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-106.470000,,,,,,,NR SA,,,,,,,,,,,,,,,,
68,1,,,-121.9331898,47.5260679,2025-12-11 22:55:26.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-105.740000,,,,,,,NR SA,,,,,,,,,,,,,,,,
