IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
81,1,,,-121.9331907,47.5260659,2025-12-10 23:46:11.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-96.330000,,,,,,,NR SA,,,,,,,,,,,,,,,,
82,1,,,-121.9331907,47.5260659,2025-12-10 23:46:12.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-96.260000,,,,,,,NR SA,,,,,,,,,,,,,,,,
83,1,,,-121.9331907,47.5260659,2025-12-10 23:46:13.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-94.600000,,,,,,,NR SA,,,,,,,,,,,,,,,,
84,1,,,-121.9331907,47.5260659,2025-12-10 23:46:14.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-97.370000,,,,,,,NR SA,,,,,,,,,,,,,,,,
85,1,,,-121.9331907,47.5260659,2025-12-10 23:46:15.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-97.650000,,,,,,,NR SA,,,,,,,,,,,,,,,,
86,1,,,-121.9331907,47.5260659,2025-12-10 23:46:16.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-94.350000,,,,,,,NR SA,,,,,,,,,,,,,,,,
87,1,,,-121.9331907,47.5260659,2025-12-10 23:46:17.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-95.980000,,,,,,,NR SA,,,,,,,,,,,,,,,,
88,1,,,-121.9331907,47.5260659,2025-12-10 23:46:18.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-93.990000,,,,,,,NR SA,,,,,,,,,,,,,,,,
89,1,,,-121.9331907,47.5260659,2025-12-10 23:46:19.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-95.050000,,,,,,,NR SA,,,,,,,,,,,,,,,,
90,1,,,-121.9331907,47.5260659,2025-12-10 23:46:20.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-100.210000,,,,,,,NR SA,,,,,,,,,,,,,,,,
91,1,,,-121.9331907,47.5260659,2025-12-10 23:46:21.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-101.320000,,,,,,,NR SA,,,,,,,,,,,,,,,,
92,1,,,-121.9331907,47.5260659,2025-12-10 23:46:22.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-97.780000,,,,,,,NR SA,,,,,,,,,,,,,,,,
93,1,,,-121.9331907,47.5260659,2025-12-10 23:46:23.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-95.780000,,,,,,,NR SA,,,,,,,,,,,,,,,,
94,1,,,-121.9331907,47.5260659,2025-12-10 23:46:24.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-94.160000,,,,,,,NR SA,,,,,,,,,,,,,,,,
95,1,,,-121.9331907,47.5260659,2025-12-10 23:46:25.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-97.740000,,,,,,,NR SA,,,,,,,,,,,,,,,,
96,1,,,-121.9331907,47.5260659,2025-12-10 23:46:26.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-99.830000,,,,,,,NR SA,,,,,,,,,,,,,,,,
97,1,,,-121.9331907,47.5260659,2025-12-10 23:46:27.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-98.800000,,,,,,,NR SA,,,,,,,,,,,,,,,,
98,1,,,-121.9331907,47.5260659,2025-12-10 23:46:28.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-94.440000,,,,,,,NR SA,,,,,,,,,,,,,,,,
99,1,,,-121.9331907,47.5260659,2025-12-10 23:46:29.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-93.970000,,,,,,,NR SA,,,,,,,,,,,,,,,,
100,1,,,-121.9331907,47.5260659,2025-12-10 23:46:30.000,_20251210_154452_CH04_TMO_5GNR_VoNR-MO_REF-1_TC150-1.dml,,594,-94.210000,,,,,,,NR SA,,,,,,,,,,,,,,,,
