IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc)
29,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.156,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP,,,,,,,,,,,,,,,,,
30,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.156,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after SIP 200Ok,,,,,,,,,,,,,,,,,
31,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.225,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP,,,,,,,,,,,,,,,,,
32,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.225,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after SIP 200Ok,,,,,,,,,,,,,,,,,
33,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.283,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,DL,ACK,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.296,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after SIP ACK,,,,,,,,,,,,,,,,,
35,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.376,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after SIP ACK,,,,,,,,,,,,,,,,,
36,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.376,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after First Rx RTP,,,,,,,,,,,,,,,,,
37,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.462,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after First Tx RTP,,,,,,,,,,,,,,,,,
38,1,,,-121.9331659,47.5260802,2026-01-22 00:11:31.641,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,,,,,,,,,,,,,
39,1,,,-121.9331659,47.5260802,2026-01-22 00:11:32.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
40,1,,,-121.9331659,47.5260802,2026-01-22 00:11:33.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,NR (NR_SA)
41,1,,,-121.9331659,47.5260802,2026-01-22 00:11:34.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
42,1,,,-121.9331659,47.5260802,2026-01-22 00:11:35.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
43,1,,,-121.9331659,47.5260802,2026-01-22 00:11:36.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
44,1,,,-121.9331659,47.5260802,2026-01-22 00:11:37.000,_20260121_161108_CH04_TMO_5GNR_VoNR_MT_REF-2_TC150.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
