[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
,,,432,-74.330000,,,,32.406,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.330000,,,,35.067,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.330000,,,,34.180,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.330000,,,,32.887,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.330000,,,,20.596,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.330000,,,,46.884,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.330000,,,,33.808,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.330000,,,,31.541,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.830000,,,,33.252,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,33.111,LTE 3CA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DL,BYE,,,,,,,,,,,,
,,,432,-75.330000,,,,24.753,LTE 3CA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Release Call Success,,,,,
,,,,,,,,,,,,,,,,,,,Complete,[Tool] Voice - Call Result : Complete,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Release Call Request,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Release Call Success,,,,,
,752,-90.080000,,,,,,29.649,NR SA,,,,,,,,,,,,1,,,,
,752,-90.110000,,,,,,18.875,NR SA,,,,,,,,,,,,,,,,
,752,-89.800000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,752,-89.520000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,752,-88.530000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Incomplete,,,,,,
,,,,,,,,,,Download End Request,,,,,,,,,,,,,,,
,,,,,,,,,,Download Ended,,,,,,,,,,,,,,,
,752,-89.150000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,752,-89.560000,,,,,,,,,,,,,,,,,,,,,,,
,752,-90.050000,,,,,,,,,,,,,,,,,,,,,,,
,752,-89.000000,,,,,,,,,,,,,,,,,,,,,,,
,752,-88.070000,,,,,,,,,,,,,,,,,,,,,,,
,752,-87.480000,,,,,,,,,,,,,,,,,,,,,,,
,752,-88.410000,,,,,,,,,,,,,,,,,,,,,,,
,752,-88.540000,,,,,,,,,,,,,,,,,,,,,,,
,752,-89.080000,,,,,,,,,,,,,,,,,,,,,,,
,752,-90.200000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,HTTP Download,Incomplete,,,,,,,
,744,-94.700000,,,,,,,,,,,,,,,,,,,,,,,
,744,-96.080000,,,,,,,,,,,,,,,,,,,,,,,
,744,-96.740000,,,,,,,,,,,,,,,,,,,,,,,
,744,-97.090000,,,,,,,,,,,,,,,,,,,,,,,
,744,-95.620000,,,,,,,,,,,,,,,,,,,,,,,
,744,-96.890000,,,,,,,,,,,,,,,,,,,,,,,
,744,-96.190000,,,,,,,,,,,,,,,,,,,,,,,
,744,-94.030000,,,,,,,,,,,,,,,,,,,,,,,
,744,-94.490000,,,,,,,,,,,,,,,,,,,,,,,
,744,-97.620000,,,,,,,,,,,,,,,,,,,,,,,
,744,-96.060000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.220000,,,,,,,,,,,,,,,,,,,,,,,
,272,-88.720000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.560000,,,,,,,,,,,,,,,,,,,,,,,
,272,-88.600000,,,,,,,,,,,,,,,,,,,,,,,
,272,-88.920000,,,,,,,,,,,,,,,,,,,,,,,
,272,-89.750000,,,,,,,,,,,,,,,,,,,,,,,
,272,-86.930000,,,,,,,,,,,,,,,,,,,,,,,
,272,-87.360000,,,,,,,,,,,,,,,,,,,,,,,
,272,-86.340000,,,,,,,,,,,,,,,,,,,,,,,
,272,-86.290000,,,,,,,,,,,,,,,,,,,,,,,
,272,-88.330000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.650000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.490000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.480000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.170000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.980000,,,,,,,,,,,,,,,,,,,,,,,
,272,-84.840000,,,,,,,,,,,,,,,,,,,,,,,
