[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N41(100)+N41(40),,266,-92.340000,11.640000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-91.930000,12.880000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-93.430000,11.750000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.670000,12.210000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-93.020000,10.680000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.370000,11.980000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-93.100000,11.010000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),,266,-92.230000,11.940000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.090000,12.530000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.530000,14.100000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.740000,14.430000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.740000,13.790000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.520000,14.560000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-92.120000,18.330000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.160000,12.790000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.210000,16.390000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.540000,16.950000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.810000,16.220000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.610000,16.410000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.220000,14.270000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.320000,14.200000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-91.120000,13.740000,,,,,,,,,,,,,,,,
,,,N41(100),,266,-90.310000,17.680000,,,,,,,,,,,,,,,,
