[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.080000,12.790000,,,,,,,,72.730,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-99.860000,12.810000,,,,,,,,94.738,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.370000,11.670000,,,,,,,,92.819,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.300000,11.670000,,,,,,,,100.662,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-99.840000,13.180000,,,,,,,,108.838,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-99.530000,12.250000,,,,,,,,117.173,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-99.890000,10.970000,,,,,,,,88.750,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.560000,13.050000,,,,,,,,83.311,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.080000,13.930000,,,,,,,,80.902,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-99.770000,11.890000,,,,,,,,88.251,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.480000,13.220000,,,,,,,,85.429,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.680000,12.140000,,,,,,,,84.371,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.550000,10.480000,,,,,,,,86.188,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.000000,10.590000,,,,,,,,86.743,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.650000,9.010000,,,,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.800000,9.030000,,,,,,,,71.310,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.770000,9.520000,,,,,,,,83.022,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-101.100000,9.250000,,,,,,,,81.421,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.670000,9.620000,,,,,,,,89.978,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.760000,9.210000,,,,,,,,92.888,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-101.180000,8.620000,,,,,,,,97.216,,,,,,,,
,,,,,,,,,,,,,,Download End Request,,,,,,,,,
,,,,,,,,,,,,,,Download Ended,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-101.350000,8.510000,,,,,,,,93.125,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,266,-101.260000,8.830000,,,,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,266,-100.110000,8.840000,,,,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,266,-97.700000,9.340000,,,,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,266,-97.610000,7.870000,,,,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,266,-97.490000,7.780000,,,,,,,,,,,,,,,,
,,,N41(40)+N71(x)+N25(x)+N41(x),,266,-98.190000,9.610000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-98.500000,10.700000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.410000,7.470000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.940000,7.460000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-98.230000,6.360000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.140000,6.720000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.680000,7.670000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.430000,8.480000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.430000,7.300000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.120000,7.290000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-95.790000,8.280000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.010000,9.500000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.500000,9.180000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.170000,9.830000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.410000,8.700000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.170000,8.390000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.400000,8.010000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.640000,8.570000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-98.560000,10.070000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.660000,7.020000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.660000,7.120000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.180000,6.500000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.110000,6.780000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.280000,6.360000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.710000,5.760000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.930000,6.740000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.380000,6.360000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.540000,7.150000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-99.100000,6.320000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-99.320000,5.740000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.260000,9.620000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.940000,8.370000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.940000,7.470000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-95.100000,9.300000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.630000,8.440000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.600000,8.940000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-93.950000,8.950000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-93.760000,8.520000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-93.520000,7.590000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.690000,7.920000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.440000,9.460000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-95.180000,8.540000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.240000,11.440000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.180000,11.320000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-95.540000,10.640000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.550000,12.440000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-92.800000,12.220000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-92.300000,13.770000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.690000,10.840000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-93.950000,13.040000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.950000,13.480000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-92.760000,14.200000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.210000,11.990000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-94.080000,10.520000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-95.330000,9.270000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.330000,7.720000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.320000,7.480000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-98.740000,4.850000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-98.500000,5.440000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-98.150000,5.800000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-97.280000,5.550000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.420000,7.740000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.770000,8.230000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.960000,9.390000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.070000,10.340000,,,,,,,,,,,,,,,,
,,,N41(40),,266,-96.520000,9.270000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Download Start Request,,,,,,,,,
,,,N41(40),NR SA,266,-96.320000,9.730000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Download File Size Retrieved,,,,,,,,,
,,,,,,,,,,,,,,Download Started,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-96.500000,10.550000,,,,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-99.350000,10.830000,,,,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.330000,10.900000,,,,,,,,123.861,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-97.530000,10.250000,,,,,,,,0.545,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-98.010000,11.730000,,,,,,,,3.641,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-98.730000,11.440000,,,,,,,,17.985,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.120000,12.370000,,,,,,,,27.964,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-99.240000,12.150000,,,,,,,,0.941,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-98.560000,14.640000,,,,,,,,5.109,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-101.080000,10.670000,,,,,,,,26.442,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-100.270000,12.980000,,,,,,,,3.933,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,266,-99.860000,12.490000,,,,,,,,0.000,,,,,,,,
