[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N41(x),,0,902,-64.160000,19.980000,,,,,,,,,,,,,
,,,N41(x),,1,902,-64.400000,19.720000,,,,,,,,,,,,,
,,,N41(x),,0,902,-64.560000,20.160000,,,,,,,,,,,,,
,,,N41(x),,0,902,-64.280000,20.240000,,,,,,,,,,,,,
,,,N41(x),,1,902,-64.420000,18.240000,,,,,,,,,,,,,
,,,N41(x),,0,902,-64.420000,18.690000,,,,,,,,,,,,,
,,,N41(x),,0,902,-64.660000,19.740000,,,,,,,,,,,,,
,,,N41(x),,1,902,-64.840000,19.320000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,N41(x),NR SA,0,902,-64.500000,20.730000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,1,902,-65.850000,23.180000,,,,,,,,,,,,17.463000,0.013000
,,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,
,,,,,,,,,,,,,,,,Download Started,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-66.990000,24.640000,,,,,,,,,,,,355.851000,0.002000
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-68.140000,24.020000,,,,,,,,,,,,461.896000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.080000,23.150000,,,,,,,,,447.567,,,295.787000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.540000,22.690000,,,,,,,,,359.975,,,412.411000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.490000,21.710000,,,,,,,,,324.862,,,432.814000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.410000,22.380000,,,,,,,,,340.220,,,490.363000,0.050000
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.430000,22.330000,,,,,,,,,390.069,,,584.932000,0.001000
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.440000,21.980000,,,,,,,,,460.984,,,386.162000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.410000,22.540000,,,,,,,,,575.217,,,471.724000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.270000,22.520000,,,,,,,,,332.236,,,308.401000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-68.950000,22.210000,,,,,,,,,399.240,,,230.555000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-68.820000,21.890000,,,,,,,,,248.827,,,239.595000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.120000,19.420000,,,,,,,,,222.332,,,269.368000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.680000,19.600000,,,,,,,,,227.576,,,289.041000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.730000,19.350000,,,,,,,,,240.892,,,326.877000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.620000,19.620000,,,,,,,,,278.807,,,387.133000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.500000,20.020000,,,,,,,,,318.420,,,512.793000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.690000,19.300000,,,,,,,,,380.969,,,611.909000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.080000,19.610000,,,,,,,,,518.048,,,542.159000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.130000,18.830000,,,,,,,,,564.956,,,569.854000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.110000,18.910000,,,,,,,,,510.031,,,508.613000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.090000,18.800000,,,,,,,,,544.735,,,534.214000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.240000,19.480000,,,,,,,,,477.326,,,460.773000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.380000,19.720000,,,,,,,,,512.276,,,346.776000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.180000,18.600000,,,,,,,,,414.342,,,335.401000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.190000,18.860000,,,,,,,,,300.974,,,455.852000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.310000,18.130000,,,,,,,,,339.440,,,485.108000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.390000,18.150000,,,,,,,,,441.735,,,504.006000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.510000,17.900000,,,,,,,,,469.050,,,517.008000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.320000,17.920000,,,,,,,,,477.554,,,531.744000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.160000,18.260000,,,,,,,,,503.277,,,435.696000,
,,,,,,,,,,,,,,,,Download End Request,,,,,
,,,,,,,,,,,,,,,,Download Ended,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-70.420000,18.080000,,,,,,,,,,,,96.094000,0.108000
,,,N41(100)+N71(20)+N25(20)+N41(90),,4,902,-73.470000,17.620000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,4,902,-73.400000,17.270000,,,,,,,,,,,,8.957000,0.050000
,,,N41(100)+N71(20)+N25(20)+N41(90),,4,902,-74.650000,16.420000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,1,902,-75.480000,18.480000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,1,902,-69.050000,19.200000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),,1,902,-73.000000,17.650000,,,,,,,,,,,,,
,,,N41(x),,1,599,-90.080000,10.900000,,,,,,,,,,,,,
,,,N41(x),,1,599,-64.810000,16.770000,,,,,,,,,,,,,
,,,N41(x),,1,902,-67.950000,16.420000,,,,,,,,,,,,,
,,,N41(x),,1,902,-63.320000,20.590000,,,,,,,,,,,,,
,,,N41(x),,0,902,-63.220000,20.530000,,,,,,,,,,,,,
,,,N41(x),,1,902,-63.040000,20.160000,,,,,,,,,,,,,
,,,N41(x),,0,902,-62.910000,21.030000,,,,,,,,,,,,,
,,,N41(x),,0,902,-62.450000,21.770000,,,,,,,,,,,,,
,,,N41(x),,1,902,-62.740000,21.680000,,,,,,,,,,,,,
,,,N41(x),,0,902,-62.940000,21.820000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.200000,20.080000,,,,,,,,,,,,,
,,,N41(100),,1,902,-66.050000,20.920000,,,,,,,,,,,,0.055000,0.042000
,,,N41(100),,1,902,-64.250000,24.940000,,,,,,,,,,,,,
,,,N41(100),,0,902,-63.450000,25.960000,,,,,,,,,,,,,
,,,N41(100),,1,902,-63.490000,24.700000,,,,,,,,,,,,,
,,,N41(100),,1,902,-63.450000,25.270000,,,,,,,,,,,,,
,,,N41(100),,1,902,-63.300000,23.920000,,,,,,,,,,,,,
,,,N41(100),,1,902,-63.090000,24.300000,,,,,,,,,,,,,
,,,N41(100),,0,902,-63.320000,23.500000,,,,,,,,,,,,,
,,,N41(100),,1,902,-63.490000,22.920000,,,,,,,,,,,,,
,,,N41(100),,1,902,-63.680000,23.230000,,,,,,,,,,,,,
,,,N41(100),,1,902,-63.590000,23.380000,,,,,,,,,,,,,
,,,N41(100),,1,902,-63.520000,23.070000,,,,,,,,,,,,,
,,,N41(100),,0,902,-63.740000,21.990000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.010000,23.130000,,,,,,,,,,,,,
,,,N41(x),,1,902,-64.390000,23.040000,,,,,,,,,,,,,
,,,N41(x),,0,902,-65.780000,22.420000,,,,,,,,,,,,,
,,,N41(40),,1,902,-63.720000,21.560000,,,,,,,,,,,,,
,,,N41(100),,1,902,-66.140000,20.740000,,,,,,,,,,,,0.018000,0.004000
,,,N41(100),,1,902,-66.030000,21.850000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.400000,22.250000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.510000,21.810000,,,,,,,,,,,,,
,,,N41(100),,1,902,-64.800000,21.560000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,N41(100),,0,902,-65.240000,21.260000,,,,,,,,,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,1,902,-65.620000,21.020000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,
,,,,,,,,,,,,,,,,Download Started,,,,,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-69.220000,19.880000,,,,,,,,,,,,40.162000,0.015000
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-75.600000,16.610000,,,,,,,,,,,,341.985000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-75.960000,16.310000,,,,,,,,,291.474,,,458.030000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-76.380000,17.240000,,,,,,,,,426.760,,,527.284000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-76.140000,16.940000,,,,,,,,,518.007,,,531.695000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-76.490000,16.150000,,,,,,,,,442.871,,,461.935000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-75.950000,16.800000,,,,,,,,,434.412,,,460.251000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-75.140000,17.330000,,,,,,,,,402.003,,,418.965000,
,,,N41(100)+N71(20)+N25(20)+N41(90),NR SA,4,902,-75.050000,17.210000,,,,,,,,,407.003,,,438.420000,
