[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N41(100)+N41(40),NR SA,2,902,-74.120000,17.210000,,,,,,,,,271.327,,,,
,,,N41(100)+N41(40),NR SA,2,902,-74.940000,17.370000,,,,,,,,,325.669,,,,
,,,N41(100)+N41(40),NR SA,2,902,-76.160000,14.040000,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,2,902,-76.830000,14.830000,,,,,,,,,424.226,,,,
,,,N41(100)+N41(40),NR SA,2,902,-76.480000,16.970000,,,,,,,,,406.559,,,,
,,,N41(100)+N41(40),NR SA,2,902,-75.280000,18.760000,,,,,,,,,423.866,,,,
,,,N41(100)+N41(40),NR SA,2,902,-75.200000,18.410000,,,,,,,,,434.915,,,,
,,,N41(100)+N41(40),NR SA,2,902,-75.790000,17.990000,,,,,,,,,459.806,,,,
,,,N41(100)+N41(40),NR SA,2,902,-75.140000,18.910000,,,,,,,,,438.650,,,,
,,,N41(100)+N41(40),NR SA,2,902,-74.820000,19.400000,,,,,,,,,425.349,,,,
,,,N41(100)+N41(40),NR SA,2,902,-75.070000,19.460000,,,,,,,,,427.325,,,,
,,,N41(100)+N41(40),NR SA,2,902,-74.620000,19.400000,,,,,,,,,472.621,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.460000,19.150000,,,,,,,,,285.610,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.210000,19.310000,,,,,,,,,322.465,,,,
,,,N41(100)+N41(40),NR SA,2,902,-70.140000,20.790000,,,,,,,,,374.359,,,,
