[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N41(100)+N41(40),NR SA,2,902,-74.450000,15.580000,,,,,,,,,384.243,,,,
,,,N41(100)+N41(40),NR SA,2,902,-68.290000,21.050000,,,,,,,,,278.641,,,,
,,,N41(100)+N41(40),NR SA,2,902,-67.540000,19.380000,,,,,,,,,206.029,,,,
,,,N41(100)+N41(40),NR SA,2,902,-70.880000,16.580000,,,,,,,,,217.161,,,,
,,,N41(100)+N41(40),NR SA,2,902,-69.370000,17.640000,,,,,,,,,235.083,,,,
,,,N41(100)+N41(40),NR SA,2,902,-69.200000,16.250000,,,,,,,,,219.560,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.800000,17.260000,,,,,,,,,267.219,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.570000,18.770000,,,,,,,,,280.173,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.560000,20.000000,,,,,,,,,299.881,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.600000,20.850000,,,,,,,,,348.392,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.050000,21.080000,,,,,,,,,394.065,,,,
,,,N41(100)+N41(40),NR SA,2,902,-70.880000,21.690000,,,,,,,,,375.286,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.060000,21.590000,,,,,,,,,417.974,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.300000,20.650000,,,,,,,,,501.122,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.020000,20.370000,,,,,,,,,446.753,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.250000,20.970000,,,,,,,,,382.111,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.950000,22.120000,,,,,,,,,412.944,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.820000,21.800000,,,,,,,,,447.347,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.120000,19.650000,,,,,,,,,526.070,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.790000,19.870000,,,,,,,,,514.448,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.310000,19.630000,,,,,,,,,570.237,,,,
,,,,,,,,,,,,,,,,Download End Request,,,,,
,,,,,,,,,,,,,,,,Download Ended,,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.360000,19.480000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-70.670000,20.120000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-71.560000,21.650000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-72.110000,22.700000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-72.580000,21.570000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-73.230000,20.840000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-72.640000,21.360000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,2,902,-72.770000,20.170000,,,,,,,,,,,,,
,,,N41(100),,1,902,-73.170000,22.250000,,,,,,,,,,,,,
,,,N41(40),,1,902,-70.930000,20.750000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.790000,19.800000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.630000,20.090000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.400000,15.310000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.990000,18.390000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.040000,19.220000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.370000,19.480000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.110000,18.690000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.510000,18.310000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.200000,17.260000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.100000,16.580000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.340000,16.330000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.650000,14.530000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.920000,14.630000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.150000,16.160000,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.340000,16.250000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.900000,15.890000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.910000,13.910000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.930000,16.160000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.340000,16.590000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.160000,14.920000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.420000,17.770000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-71.300000,15.620000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,,NR SA,1,902,-70.410000,16.330000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,
,,,,,,,,,,,,,,,,Download Started,,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.230000,15.940000,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.030000,15.740000,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.040000,15.590000,,,,,,,,,173.610,,,,
,,,N41(100)+N41(40),NR SA,2,902,-71.630000,15.590000,,,,,,,,,275.168,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.590000,15.050000,,,,,,,,,336.984,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.530000,15.780000,,,,,,,,,483.338,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.870000,19.300000,,,,,,,,,538.462,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.650000,20.500000,,,,,,,,,311.003,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.270000,18.630000,,,,,,,,,409.669,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.820000,19.080000,,,,,,,,,428.503,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.770000,18.550000,,,,,,,,,422.471,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.770000,19.240000,,,,,,,,,414.272,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.040000,18.980000,,,,,,,,,223.019,,,,
,,,N41(100)+N41(40),NR SA,2,902,-72.950000,18.130000,,,,,,,,,108.967,,,,
,,,N41(100)+N41(40),NR SA,2,902,-73.260000,17.300000,,,,,,,,,123.873,,,,
