Device,DUT,REF
656,-61.0,-63.0
657,-61.0,-63.0
658,-61.0,-63.0
659,-61.0,-61.0
660,-59.0,-61.0
661,-59.0,-61.0
662,-59.0,-60.0
663,-56.0,-60.0
664,-56.0,-60.0
665,-56.0,-61.0
666,-55.0,-61.0
667,-55.0,-61.0
668,-55.0,-60.0
669,-57.0,-60.0
670,-57.0,-60.0
671,-57.0,-61.0
672,-55.0,-61.0
673,-55.0,-61.0
674,-55.0,-60.0
675,-58.0,-60.0
676,-58.0,-60.0
677,-58.0,-64.0
678,-56.0,-64.0
679,-56.0,-64.0
680,-56.0,-66.0
681,-59.0,-66.0
682,-59.0,-66.0
683,-59.0,-66.0
684,-58.0,-66.0
685,-58.0,-66.0
686,-58.0,-65.0
687,-50.0,-65.0
688,-50.0,-65.0
689,-50.0,-63.0
690,-51.0,-64.0
691,-51.0,-64.0
692,-51.0,-64.0
693,-59.0,-64.0
694,-59.0,-64.0
695,-59.0,-64.0
696,-53.0,-64.0
697,-53.0,-64.0
698,-53.0,-64.0
699,-54.0,-64.0
700,-54.0,-58.0
701,-54.0,-58.0
702,-54.0,-58.0
703,-54.0,-56.0
704,-54.0,-56.0
705,-47.0,-56.0
706,-47.0,-53.0
707,-47.0,-53.0
708,-47.0,-53.0
709,-47.0,-49.0
710,-47.0,-49.0
711,-45.0,-49.0
712,-45.0,-52.0
713,-48.5,-52.0
714,-52.0,-52.0
715,-52.0,-52.0
716,-55.0,-52.0
717,-55.0,-52.0
718,-46.0,-57.0
719,-46.0,-57.0
720,-46.0,-57.0
721,-53.0,-58.0
722,-53.0,-58.0
723,-50.0,-58.0
724,-50.0,-57.0
725,-50.0,-57.0
726,-50.0,-57.0
727,-50.0,-57.0
728,-47.0,-57.0
729,-47.0,-57.0
730,-47.0,-53.0
731,-48.0,-53.0
732,-48.0,-53.0
733,-48.0,-53.0
734,-49.0,-55.0
735,-49.0,-55.0
736,-49.0,-55.0
737,-49.0,-55.0
738,-49.0,-55.0
739,-49.0,-55.0
740,-57.0,-56.0
741,-57.0,-56.0
742,-57.0,-56.0
743,-53.0,-58.0
744,-53.0,-58.0
745,-53.0,-58.0
746,-51.0,-59.0
747,-51.0,-59.0
748,-51.0,-59.0
749,-54.0,-59.0
750,-54.0,-59.0
751,-54.0,-59.0
752,-52.0,-58.0
753,-52.0,-58.0
754,-52.0,-58.0
755,-54.0,-57.0
756,-54.0,-57.0
757,-54.0,-57.0
758,-49.0,-57.0
759,-49.0,-57.0
760,-49.0,-57.0
761,-49.0,-58.0
762,-49.0,-58.0
763,-49.0,-58.0
764,-48.0,-58.0
765,-48.0,-58.0
766,-48.0,-58.0
767,-49.0,-57.0
768,-49.0,-57.0
769,-49.0,-57.0
770,-55.0,-58.0
771,-55.0,-58.0
772,-55.0,-58.0
773,-52.0,-59.0
774,-52.0,-59.0
775,-52.0,-59.0
776,-50.0,-59.0
777,-50.0,-59.0
778,-50.0,-59.0
779,-51.0,-61.0
780,-51.0,-61.0
781,-51.0,-61.0
782,-56.0,-61.0
783,-56.0,-61.0
784,-56.0,-61.0
785,-59.0,-59.0
786,-59.0,-59.0
787,-59.0,-59.0
788,-49.0,-59.0
789,-49.0,-59.0
790,-49.0,-59.0
791,-46.0,-61.0
792,-46.0,-61.0
793,-46.0,-61.5
794,-48.0,-62.0
795,-48.0,-62.0
796,-54.0,-64.0
797,-54.0,-64.0
798,-54.0,-64.0
799,-56.0,-61.0
800,-56.0,-61.0
801,-48.0,-61.0
802,-48.0,-58.0
803,-48.0,-58.0
804,-57.0,-56.0
805,-57.0,-56.0
806,-57.0,-56.0
807,-52.0,-56.0
808,-52.0,-56.0
809,-52.0,-56.0
810,-52.0,-53.0
811,-52.0,-53.0
812,-57.0,-53.0
813,-57.0,-52.0
814,-52.0,-52.0
815,-52.0,-52.0
816,-52.0,-52.0
817,-51.0,-52.0
818,-51.0,-52.0
819,-51.0,-52.0
820,-53.0,-52.0
821,-53.0,-57.0
822,-53.0,-57.0
823,-53.0,-58.0
824,-53.0,-59.0
825,-53.0,-59.0
826,-53.0,-58.0
827,-53.0,-58.0
828,-53.0,-58.0
829,-50.0,-59.0
830,-50.0,-59.0
831,-50.0,-59.0
832,-51.0,-57.0
833,-51.0,-57.0
834,-51.0,-57.0
835,-52.0,-58.0
836,-52.0,-58.0
837,-52.0,-58.0
838,-53.0,-59.0
839,-53.0,-59.0
840,-53.0,-59.0
841,-55.0,-60.0
842,-55.0,-60.0
843,-55.0,-60.0
844,-50.0,-59.0
845,-50.0,-59.0
846,-53.0,-59.0
847,-53.0,-59.0
848,-53.0,-59.0
849,-57.0,-59.0
850,-57.0,-60.0
851,-57.0,-60.0
852,-54.0,-60.0
853,-54.0,-59.0
854,-54.0,-59.0
855,-55.0,-59.0
856,-55.0,-59.0
857,-55.0,-59.0
858,-59.0,-57.0
859,-59.0,-69.0
860,-59.0,-65.0
861,-53.0,-65.0
862,-53.0,-65.0
863,-53.0,-72.0
864,-54.0,-72.0
865,-54.0,-72.0
866,-54.0,-72.0
867,-53.0,-72.0
868,-53.0,-72.0
869,-53.0,-69.0
870,-52.0,-69.0
871,-52.0,-69.0
872,-52.0,-69.0
873,-57.0,-65.0
874,-57.0,-65.0
875,-57.0,-65.0
876,-56.0,-69.0
877,-56.0,-69.0
878,-56.0,-69.0
879,-56.0,-66.0
880,-56.0,-66.0
881,-56.0,-66.0
882,-51.0,-65.0
883,-51.0,-65.0
884,-51.0,-65.0
885,-50.0,-65.0
886,-50.0,-65.0
887,-50.0,-65.0
888,-49.0,-63.0
889,-49.0,-63.0
890,-49.0,-63.0
891,-51.0,-62.0
892,-51.0,-62.0
893,-51.0,-62.0
894,-53.0,-63.0
895,-53.0,-63.0
896,-53.0,-63.0
897,-51.0,-67.0
898,-51.0,-67.0
899,-51.0,-67.0
900,-47.0,-68.0
901,-47.0,-68.0
902,-47.0,-68.0
903,-50.0,-72.0
904,-50.0,-72.0
905,-50.0,-72.0
906,-51.0,-72.0
907,-51.0,-72.0
908,-51.0,-72.0
909,-48.0,-72.0
910,-48.0,-72.0
911,-48.0,-72.0
912,-48.0,-72.0
913,-48.0,-72.0
914,-48.0,-72.0
915,-60.0,-72.0
916,-60.0,-60.0
917,-60.0,-60.0
918,-49.0,-60.0
919,-49.0,-61.0
920,-49.0,-61.0
921,-44.0,-61.0
922,-44.0,-60.0
923,-44.0,-60.0
924,-44.0,-60.0
925,-44.0,-63.0
926,-44.0,-63.0
927,-49.0,-63.0
928,-49.0,-66.0
929,-49.0,-66.0
930,-48.0,-66.0
931,-48.0,-67.0
932,-48.0,-67.0
933,-43.0,-67.0
934,-43.0,-68.0
935,-43.0,-68.0
936,-43.0,-68.0
937,-43.0,-69.0
938,-43.0,-69.0
939,-46.0,-69.0
940,-46.0,-67.0
941,-46.0,-67.0
942,-51.0,-67.0
943,-51.0,-63.0
944,-51.0,-63.0
945,-46.0,-63.0
946,-46.0,-66.0
947,-46.0,-66.0
948,-44.0,-66.0
949,-44.0,-66.0
950,-44.0,-66.0
951,-49.0,-66.0
952,-49.0,-66.0
953,-49.0,-66.0
954,-50.0,-66.0
955,-50.0,-66.0
956,-50.0,-66.0
957,-48.0,-65.0
958,-48.0,-65.0
959,-48.0,-65.0
960,-47.0,-63.0
961,-47.0,-63.0
962,-47.0,-63.0
963,-50.0,-61.0
964,-50.0,-61.0
965,-50.0,-61.0
966,-46.0,-61.0
967,-46.0,-61.0
968,-46.0,-61.0
969,-44.0,-64.0
970,-45.0,-64.0
971,-46.0,-64.0
972,-46.0,-64.0
973,-48.0,-64.0
974,-48.0,-64.0
975,-48.0,-61.0
976,-51.0,-61.0
977,-51.0,-61.0
978,-51.0,-63.0
979,-46.0,-63.0
980,-46.0,-60.0
981,-46.5,-60.0
982,-47.0,-60.0
983,-48.0,-58.0
984,-48.0,-58.0
985,-48.0,-58.0
986,-49.0,-59.0
987,-49.0,-59.0
988,-49.0,-59.0
989,-48.0,-64.0
990,-48.0,-64.0
991,-46.5,-64.0
992,-45.0,-58.0
993,-45.0,-58.0
994,-46.0,-58.0
995,-46.0,-59.0
996,-46.0,-59.0
997,-44.0,-59.0
998,-44.0,-58.0
999,-45.5,-58.0
1000,-47.0,-58.0
1001,-47.0,-57.0
1002,-52.0,-57.0
1003,-52.0,-57.0
1004,-52.0,-54.0
1005,-48.0,-54.0
1006,-48.0,-54.0
1007,-48.0,-54.0
1008,-45.0,-54.0
1009,-45.0,-54.0
1010,-45.0,-57.0
1011,-49.0,-57.0
1012,-49.0,-57.0
1013,-49.0,-57.0
1014,-50.0,-54.0
1015,-50.0,-54.0
1016,-50.0,-54.0
1017,-48.0,-52.0
1018,-48.0,-52.0
1019,-48.0,-52.0
1020,-53.0,-55.0
1021,-53.0,-55.0
1022,-53.0,-55.0
1023,-49.0,-53.0
1024,-49.0,-53.0
1025,-49.0,-53.0
1026,-48.0,-51.0
1027,-48.0,-51.0
1028,-48.0,-51.0
1029,-54.0,-53.0
1030,-54.0,-53.0
1031,-54.0,-53.0
1032,-54.0,-53.0
1033,-54.0,-53.0
1034,-54.0,-53.0
1035,-52.0,-51.0
1036,-52.0,-51.0
1037,-52.0,-51.0
1038,-51.0,-52.0
1039,-51.0,-52.0
1040,-51.0,-52.0
1041,-49.0,-54.0
1042,-49.0,-54.0
1043,-49.0,-54.0
1044,-51.0,-54.0
1045,-51.0,-53.0
1046,-51.0,-53.0
1047,-50.0,-53.0
1048,-50.0,-51.0
1049,-50.0,-51.0
1050,-52.0,-51.0
1051,-52.0,-53.0
1052,-52.0,-53.0
1053,-56.0,-53.0
1054,-56.0,-52.0
1055,-56.0,-52.0
1056,-53.0,-52.0
1057,-53.0,-51.0
1058,-53.0,-51.0
1059,-53.0,-51.0
1060,-53.0,-54.0
1061,-53.0,-54.0
1062,-54.0,-54.0
1063,-54.0,-53.0
1064,-54.0,-53.0
1065,-57.0,-53.0
1066,-57.0,-50.0
1067,-57.0,-50.0
1068,-57.0,-50.0
1069,-57.0,-48.0
1070,-57.0,-48.0
1071,-55.0,-50.0
1072,-55.0,-52.0
1073,-55.0,-52.0
1074,-53.0,-52.0
1075,-53.0,-51.0
1076,-53.0,-51.0
1077,-51.0,-51.0
1078,-51.0,-53.0
1079,-51.0,-53.0
1080,-57.0,-53.0
1081,-57.0,-48.0
1082,-57.0,-48.0
1083,-54.0,-48.0
1084,-54.0,-47.0
1085,-54.0,-47.0
1086,-54.0,-47.0
1087,-54.0,-47.0
1088,-54.0,-47.0
1089,-55.0,-47.0
1090,-55.0,-59.0
1091,-55.0,-59.0
1092,-52.0,-59.0
1093,-52.0,-59.0
1094,-52.0,-59.0
1095,-53.0,-59.0
1096,-53.0,-59.0
1097,-53.0,-59.0
1098,-60.0,-59.0
1099,-60.0,-58.0
1100,-60.0,-58.0
1101,-57.0,-59.0
1102,-57.0,-59.0
1103,-57.0,-57.0
1104,-59.0,-57.0
1105,-59.0,-57.0
1106,-59.0,-57.0
1107,-56.0,-57.0
1108,-56.0,-58.0
1109,-56.0,-58.0
1110,-62.0,-58.0
1111,-62.0,-58.0
1112,-62.0,-58.0
1113,-59.0,-57.0
1114,-59.0,-57.0
1115,-59.0,-57.0
1116,-62.0,-57.5
1117,-62.0,-58.0
1118,-62.0,-59.0
1119,-58.0,-59.0
1120,-58.0,-59.0
1121,-58.0,-58.0
1122,-57.0,-58.0
1123,-57.0,-54.0
1124,-57.0,-54.0
1125,-62.0,-54.0
1126,-62.0,-55.0
1127,-62.0,-55.0
1128,-57.0,-55.0
1129,-57.0,-57.0
1130,-57.5,-57.0
1131,-58.0,-57.0
1132,-58.0,-58.0
1133,-58.0,-58.0
1134,-58.0,-58.0
1135,-58.0,-58.0
1136,-56.0,-58.0
1137,-56.0,-58.0
1138,-58.0,-60.0
1139,-58.0,-60.0
1140,-58.0,-60.0
1141,-60.0,-62.0
1142,-60.0,-62.0
1143,-60.0,-62.0
1144,-63.0,-62.0
1145,-63.0,-62.0
1146,-63.0,-62.0
1147,-61.0,-62.0
1148,-61.0,-62.0
1149,-61.0,-62.0
1150,-64.0,-61.0
1151,-64.0,-61.0
