Device,MO DUT,MT DUT,MO REF,MT REF
193,-72.0,-68.0,-68.0,-66.0
194,-72.0,-68.0,-68.0,-66.0
195,-72.0,-68.0,-68.0,-66.0
196,-72.0,-68.0,-68.0,-67.0
197,-72.0,-68.0,-68.0,-67.0
198,-72.0,-68.0,-68.0,-67.0
199,-72.0,-68.0,-68.0,-67.0
200,-72.0,-71.0,-68.0,-67.0
201,-72.0,-71.0,-68.0,-67.0
202,-72.0,-71.0,-68.0,-67.0
203,-72.0,-71.0,-68.0,-67.0
204,-72.0,-71.0,-68.0,-67.0
205,-72.0,-71.0,-68.0,-67.0
206,-72.0,-71.0,-68.0,-67.0
207,-73.0,-71.0,-68.0,-67.0
208,-73.0,-71.0,-68.0,-67.0
209,-73.0,-70.0,-68.0,-67.0
210,-74.0,-70.0,-68.0,-67.0
211,-74.0,-70.0,-67.5,-69.0
212,-74.0,-68.0,-67.0,-69.0
213,-74.0,-68.0,-67.0,-69.0
214,-74.0,-68.0,-67.0,-69.0
215,-74.0,-68.0,-67.0,-69.0
216,-74.0,-68.0,-67.0,-69.0
217,-74.0,-68.0,-68.0,-66.0
218,-74.0,-69.0,-68.0,-66.0
219,-74.0,-69.0,-69.0,-66.0
220,-74.0,-69.0,-69.0,-66.0
221,-74.0,-69.0,-70.0,-66.0
222,-74.0,-69.0,-70.0,-66.0
223,-74.0,-69.0,-70.0,-69.0
224,-74.0,-68.0,-70.0,-69.0
225,-74.0,-68.0,-70.0,-69.0
226,-74.0,-68.0,-70.0,-70.0
227,-74.5,-68.0,-70.0,-70.0
228,-75.0,-68.0,-70.0,-70.0
229,-75.0,-68.0,-70.0,-70.0
230,-75.0,-68.0,-70.0,-70.0
231,-74.0,-68.0,-70.0,-70.0
232,-74.0,-68.0,-70.0,-68.0
233,-74.0,-68.0,-70.0,-68.0
234,-74.0,-68.0,-70.0,-68.0
235,-73.5,-68.0,-70.0,-69.0
236,-73.0,-68.0,-69.0,-69.0
237,-73.0,-68.0,-69.0,-69.0
238,-73.0,-68.0,-67.0,-69.0
239,-73.0,-68.0,-67.0,-69.0
240,-72.5,-68.0,-68.0,-69.0
241,-72.0,-68.0,-68.0,-67.0
242,-73.0,-68.0,-70.0,-67.0
243,-73.0,-68.0,-70.0,-67.0
244,-72.0,-68.0,-70.0,-67.0
245,-72.0,-68.0,-69.5,-67.0
246,-73.0,-68.0,-69.0,-67.0
247,-73.0,-68.0,-69.0,-69.0
248,-73.0,-68.0,-69.0,-69.0
249,-73.0,-68.0,-69.0,-69.0
250,-73.0,-68.0,-69.0,-68.0
251,-73.0,-68.0,-66.0,-68.0
252,-73.0,-68.0,-66.0,-68.0
253,-73.0,-68.0,-66.0,-70.0
254,-73.0,-68.0,-66.0,-70.0
255,-72.0,-68.0,-68.0,-70.0
256,-72.0,-68.0,-68.0,-70.0
257,-72.0,-68.0,-68.0,-70.0
258,-73.0,-68.0,-67.5,-70.0
259,-73.0,-68.0,-67.0,-67.0
260,-74.0,-68.0,-67.0,-67.0
261,-74.0,-68.0,-67.0,-67.0
262,-74.0,-68.0,-67.0,-68.0
263,-74.0,-68.0,-67.0,-68.0
264,-74.0,-68.0,-67.5,-68.0
265,-74.0,-68.0,-68.0,-69.0
266,-74.0,-68.0,-69.0,-69.0
267,-74.0,-68.0,-69.0,-69.0
268,-74.0,-68.0,-69.0,-67.0
269,-74.0,-68.0,-69.0,-67.0
270,-74.0,-68.0,-68.0,-67.0
271,-74.0,-68.0,-68.0,-68.0
272,-74.0,-68.0,-68.0,-68.0
273,-74.0,-68.0,-68.0,-68.0
274,-74.0,-68.0,-70.0,-69.0
275,-74.0,-68.0,-70.0,-69.0
276,-74.0,-68.0,-70.0,-69.0
277,-74.0,-68.0,-70.0,-67.0
278,-74.0,-68.0,-70.0,-67.0
279,-74.0,-68.0,-70.0,-67.0
280,-74.0,-68.0,-70.0,-67.0
281,-74.0,-68.0,-70.0,-67.0
282,-74.0,-68.0,-70.0,-67.0
283,-73.0,-68.0,-70.0,-67.0
284,-73.0,-68.0,-70.0,-67.0
285,-73.0,-68.0,-70.0,-67.0
286,-74.0,-68.0,-70.0,-67.0
287,-74.0,-68.0,-70.0,-67.0
288,-74.0,-70.0,-70.0,-67.0
289,-74.0,-70.0,-70.0,-67.0
290,-74.0,-70.0,-70.0,-67.0
291,-74.0,-70.0,-70.0,-67.0
292,-74.0,-70.0,-70.0,-66.0
293,-74.0,-70.0,-70.0,-66.0
294,-74.0,-69.0,-70.0,-66.0
295,-74.0,-69.0,-70.0,-68.0
296,-74.0,-69.0,-70.0,-68.0
297,-74.0,-70.0,-70.0,-68.0
298,-74.0,-70.0,-70.0,-66.0
299,-74.0,-70.0,-70.0,-66.0
300,-73.0,-69.0,-70.0,-66.0
301,-73.0,-69.0,-70.0,-67.0
302,-73.0,-69.0,-70.0,-67.0
303,-74.0,-70.0,-70.0,-67.0
304,-74.0,-70.0,-70.0,-67.0
305,-74.0,-70.0,-70.0,-67.0
306,-73.0,-70.0,-70.0,-67.0
307,-73.0,-70.0,-70.0,-66.0
308,-73.0,-70.0,-70.0,-66.0
309,-74.0,-70.0,-70.0,-66.0
310,-74.0,-70.0,-70.5,-66.0
311,-74.0,-70.0,-71.0,-66.0
312,-74.0,-70.0,-68.0,-66.0
313,-74.0,-70.0,-68.0,-65.0
314,-74.0,-70.0,-69.0,-65.0
315,-73.0,-70.0,-69.0,-65.0
316,-73.0,-70.0,-71.0,-66.0
317,-73.0,-70.0,-71.0,-66.0
318,-73.0,-70.0,-71.0,-66.0
319,-73.0,-70.0,-71.0,-66.0
320,-73.0,-70.0,-71.0,-66.0
321,-74.0,-70.0,-71.0,-66.0
322,-74.0,-70.0,-71.0,-66.0
323,-74.0,-70.0,-71.0,-66.0
324,-73.0,-70.0,-71.0,-66.0
325,-73.0,-70.0,-72.0,-66.0
326,-73.0,-70.0,-72.0,-66.0
327,-73.0,-70.0,-71.0,-65.0
328,-73.0,-70.0,-71.0,-65.0
329,-73.0,-70.0,-70.0,-66.0
330,-73.0,-69.0,-70.0,-66.0
331,-73.0,-69.0,-69.0,-66.0
332,-73.0,-69.0,-68.5,-67.0
333,-73.0,-69.0,-68.0,-67.0
334,-73.0,-69.0,-68.5,-67.0
335,-73.0,-69.0,-69.0,-65.0
336,-74.0,-69.0,-68.5,-65.0
337,-74.0,-69.0,-68.0,-65.0
338,-74.0,-69.0,-68.0,-65.0
339,-73.0,-69.0,-68.0,-65.0
340,-73.0,-69.0,-68.0,-65.0
341,-73.0,-69.0,-68.0,-65.0
342,-73.0,-69.0,-68.0,-65.0
343,-73.0,-69.0,-68.0,-66.0
344,-73.0,-69.0,-68.0,-66.0
345,-73.0,-69.0,-68.0,-66.0
346,-73.0,-70.0,-68.0,-67.0
347,-73.0,-70.0,-68.0,-67.0
348,-73.0,-70.0,-68.0,-67.0
349,-73.0,-69.0,-68.0,-67.0
350,-73.0,-69.0,-68.0,-67.0
351,-73.0,-70.0,-68.0,-68.0
352,-73.0,-70.0,-68.0,-68.0
353,-73.0,-70.0,-68.0,-68.0
354,-73.0,-69.0,-68.0,-68.0
355,-73.0,-69.0,-68.0,-68.0
356,-73.0,-70.0,-68.0,-68.0
357,-73.0,-70.0,-69.0,-66.0
358,-73.0,-70.0,-68.5,-66.0
359,-73.0,-70.0,-68.0,-66.0
360,-73.0,-70.0,-67.5,-66.0
361,-73.0,-70.0,-67.0,-66.0
362,-73.0,-70.0,-67.5,-66.0
363,-73.0,-70.0,-68.0,-68.0
364,-73.0,-70.0,-67.5,-68.0
365,-73.0,-70.0,-67.0,-68.0
366,-74.0,-69.0,-67.0,-69.0
