[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N41(100)+N41(40),NR SA,1,902,-69.940000,17.950000,,,,,,,,,39.735,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.780000,18.100000,,,,,,,,,23.046,,,,
,,,N41(100)+N41(40),NR SA,1,902,-69.840000,17.740000,,,,,,,,,23.746,,,,
,,,N41(100)+N41(40),NR SA,1,902,-70.120000,17.860000,,,,,,,,,24.945,,,,
,,,N41(100)+N41(40),NR SA,1,902,-70.490000,17.450000,,,,,,,,,25.999,,,,
,,,N41(100)+N41(40),NR SA,1,902,-70.520000,17.540000,,,,,,,,,24.959,,,,
,,,N41(100)+N41(40),NR SA,1,902,-70.130000,17.180000,,,,,,,,,26.298,,,,
,,,N41(100)+N41(40),NR SA,1,902,-70.190000,17.650000,,,,,,,,,26.854,,,,
,,,N41(100)+N41(40),NR SA,1,902,-70.230000,17.810000,,,,,,,,,27.116,,,,
,,,N41(100)+N41(40),NR SA,1,902,-70.220000,16.840000,,,,,,,,,29.986,,,,
,,,N41(100)+N41(40),NR SA,1,902,-70.400000,16.270000,,,,,,,,,32.038,,,,
,,,,,,,,,,,,,,,,Download End Request,,,,,
,,,,,,,,,,,,,,,,Download Ended,,,,,
,,,N41(100)+N41(40),NR SA,1,902,-70.390000,17.420000,,,,,,,,,38.454,,,,
,,,N41(100)+N41(40),,1,902,-70.360000,17.020000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,1,902,-70.630000,17.680000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,1,902,-70.350000,18.250000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,1,902,-70.390000,18.260000,,,,,,,,,,,,,
,,,N41(100)+N41(40),,1,902,-70.360000,18.140000,,,,,,,,,,,,,
,,,N41(100),,1,902,-72.580000,12.260000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-74.150000,12.080000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,N41(100),,1,902,-73.530000,12.240000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
