[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-107.940000,-4.840000,,,,,,,,,4.142,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-105.920000,-3.160000,,,,,,,,,2.785,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-105.080000,-1.040000,,,,,,,,,3.808,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-104.880000,-1.480000,,,,,,,,,3.492,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-103.090000,-0.170000,,,,,,,,,2.575,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-103.060000,-0.840000,,,,,,,,,4.092,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-104.870000,-2.690000,,,,,,,,,3.565,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-106.130000,-2.970000,,,,,,,,,2.436,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-107.700000,-4.070000,,,,,,,,,1.746,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-111.210000,-8.060000,,,,,,,,,2.488,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-110.500000,-6.270000,,,,,,,,,2.270,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-110.210000,-6.110000,,,,,,,,,1.134,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,670,-107.500000,-3.210000,,,,,,,,,2.206,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,1,872,-106.750000,-4.110000,,,,,,,,,4.037,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-102.120000,1.430000,,,,,,,,,4.659,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-101.740000,2.000000,,,,,,,,,4.092,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-103.740000,0.150000,,,,,,,,,8.031,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-105.360000,-2.110000,,,,,,,,,10.443,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-106.270000,-2.490000,,,,,,,,,5.150,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-105.560000,-1.720000,,,,,,,,,2.466,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-102.750000,-0.150000,,,,,,,,,9.559,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-101.350000,-0.380000,,,,,,,,,11.207,,,,
