[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.980000,-3.160000,,,,,,,,,5.915,,,13.008000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-107.620000,-1.590000,,,,,,,,,10.485,,,19.126000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-110.090000,-3.570000,,,,,,,,,26.073,,,16.733000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,3,872,-110.350000,-4.710000,,,,,,,,,4.880,,,19.125000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,3,872,-108.280000,-3.540000,,,,,,,,,14.279,,,11.195000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,3,872,-109.120000,-4.070000,,,,,,,,,1.102,,,8.121000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,3,872,-108.470000,-3.320000,,,,,,,,,23.842,,,8.825000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,3,872,-108.950000,-4.200000,,,,,,,,,9.737,,,12.152000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,3,872,-110.580000,-4.710000,,,,,,,,,3.124,,,7.148000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,3,872,-107.720000,-0.260000,,,,,,,,,0.043,,,8.987000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,3,872,-108.740000,-1.590000,,,,,,,,,21.323,,,9.810000,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,3,872,-110.070000,-3.250000,,,,,,,,,6.317,,,9.978000,
