[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-98.560000,-0.170000,,,,,,,,,,,,,145.635,1.036
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-98.780000,-0.110000,,,,,,,,,,,,,304.226,2.065
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-101.850000,-2.300000,,,,,,,,,,,,,410.284,2.726
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-99.840000,-0.280000,,,,,,,,,,,,,158.291,1.290
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-98.140000,0.300000,,,,,,,,,,,,,0.008,0.033
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-98.290000,-0.560000,,,,,,,,,,,,,0.374,0.411
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-98.650000,-1.510000,,,,,,,,,,,,,0.004,0.001
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-98.440000,-1.190000,,,,,,,,,,,,,0.002,0.114
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-98.730000,-1.390000,,,,,,,,,,,,,0.003,0.159
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-98.020000,-0.720000,,,,,,,,,,,,,0.080,0.131
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-97.760000,-0.870000,,,,,,,,,,,,,0.071,0.054
,,,N71(40)+N25(x)+N41(x)+N41(x),NR SA,80,-97.420000,-0.510000,,,,,,,,,,,,,0.000,0.168
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,0.000,
,,,,NR SA,,,,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,75,-106.510000,-1.500000,,,,,,,,,,,,,0.009,0.067
,,,N25(20),NR SA,75,-109.630000,-2.350000,,,,,,,,,,,,,0.028,0.055
,,,N25(20),NR SA,75,-111.240000,-3.220000,,,,,,,,,,,,,0.209,0.228
,,,N25(20),NR SA,75,-111.170000,-4.950000,,,,,,,,,,,,,0.215,0.129
,,,N25(20),NR SA,75,-113.520000,-4.980000,,,,,,,,,,,,,0.012,0.043
