[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,N71(20)+N25(20)+N41(90),NR SA,670,-100.370000,-5.630000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(90),NR SA,670,-101.290000,-4.090000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(90),NR SA,670,-98.280000,-3.520000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(90),NR SA,670,-98.860000,-2.060000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(90),NR SA,670,-98.000000,-0.030000,,,,,,,,,,,,,0.000,
,,,N71(20),NR SA,80,-99.250000,-1.480000,,,,,,,,,,,,,0.005,0.001
,,,,NR SA,,,,,,,,,,,,,,,,0.000,
,,,N71(x),NR SA,80,-99.620000,-0.290000,,,,,,,,,,,,,0.000,
,,,N71(20),NR SA,80,-98.660000,-1.210000,,,,,,,,,,,,,0.014,0.012
,,,N71(20),NR SA,80,-98.600000,-2.270000,,,,,,,,,,,,,0.000,0.001
,,,N71(20)+N25(20)+N41(100),NR SA,80,-97.650000,-2.020000,,,,,,,,,,,,,0.084,0.086
,,,N71(20)+N25(20)+N41(100),NR SA,80,-98.900000,-2.710000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(100),NR SA,80,-99.760000,-1.420000,,,,,,,,,,,,,0.000,0.002
,,,N71(20)+N25(20)+N41(100),NR SA,80,-98.610000,0.770000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(100),NR SA,80,-96.600000,0.140000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(100),NR SA,80,-97.080000,-0.960000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(100),NR SA,80,-96.150000,0.510000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(100),NR SA,80,-97.420000,-1.210000,,,,,,,,,,,,,0.001,0.003
,,,N71(20)+N25(20)+N41(100),NR SA,80,-97.570000,0.680000,,,,,,,,,,,,,0.000,
,,,N71(20)+N25(20)+N41(100),NR SA,80,-97.700000,-0.130000,,,,,,,,,,,,,0.096,0.109
,,,N71(20)+N25(20)+N41(100),NR SA,80,-97.520000,1.030000,,,,,,,,,,,,,0.001,0.001
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,N71(20),NR SA,211,-91.900000,1.440000,,,,,,,,,,,,,0.001,0.049
,,,N71(20),NR SA,211,-91.690000,1.690000,,,,,,,,,,,,,0.124,0.146
,,,N71(20),NR SA,211,-91.610000,1.460000,,,,,,,,,,,,,0.137,0.157
,,,N71(20),NR SA,211,-92.040000,1.330000,,,,,,,,,,,,,0.017,0.034
,,,N71(20),NR SA,211,-93.260000,0.140000,,,,,,,,,,,,,0.003,0.005
,,,N71(20),NR SA,211,-92.880000,0.210000,,,,,,,,,,,,,0.000,
,,,N71(20),NR SA,211,-93.360000,-1.050000,,,,,,,,,,,,,0.064,0.102
,,,N71(20)+N25(20)+N41(100),NR SA,211,-94.560000,-2.190000,,,,,,,,,,,,,0.263,0.203
