[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.870000,1.790000,,,,,,,,,12.583,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.880000,2.040000,,,,,,,,,48.234,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.090000,2.370000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-89.630000,2.650000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.080000,2.400000,,,,,,,,,7.340,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.720000,1.880000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.340000,0.780000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.810000,1.660000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.560000,1.650000,,,,,,,,,8.389,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.920000,1.490000,,,,,,,,,15.729,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.820000,1.900000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.030000,1.470000,,,,,,,,,25.166,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.930000,1.780000,,,,,,,,,26.214,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.170000,1.630000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.240000,0.310000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.190000,0.280000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.440000,0.570000,,,,,,,,,7.340,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.260000,0.550000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.280000,0.470000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.410000,-0.050000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.260000,-0.050000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-92.860000,-0.650000,,,,,,,,,11.534,,,,,,,
,,,,,,,,,,,,,,Upload End Request,,,,,,,,,
,,,,,,,,,,,,,,Upload Ended,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-93.100000,-0.480000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-93.070000,-0.250000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-92.260000,0.860000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-92.640000,0.200000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-92.680000,0.010000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-92.430000,0.400000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-92.770000,-0.060000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-92.230000,0.980000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-91.520000,1.640000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),,872,-91.140000,2.070000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.930000,1.760000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.600000,1.970000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.030000,1.570000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Upload Started,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.980000,0.960000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.520000,1.660000,,,,,,,,,,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.170000,2.160000,,,,,,,,,78.643,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-91.000000,2.570000,,,,,,,,,21.998,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.380000,3.230000,,,,,,,,,48.283,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.640000,2.780000,,,,,,,,,80.660,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.400000,2.530000,,,,,,,,,40.935,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.330000,2.790000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.040000,3.300000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.340000,2.930000,,,,,,,,,23.069,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.160000,3.430000,,,,,,,,,34.603,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.380000,2.380000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.240000,2.590000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.570000,2.160000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.790000,2.420000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.580000,2.570000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.340000,2.810000,,,,,,,,,14.680,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.240000,3.250000,,,,,,,,,66.060,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.090000,3.490000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.460000,3.060000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.100000,3.340000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.600000,2.640000,,,,,,,,,14.680,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.270000,2.790000,,,,,,,,,22.020,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.020000,3.220000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.380000,3.110000,,,,,,,,,23.046,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.240000,2.900000,,,,,,,,,0.000,,,,,,,
,,,N25(20)+N25(20)+N41(100)+N41(90),NR SA,872,-90.310000,3.230000,,,,,,,,,0.000,,,,,,,
