Device,MO DUT,MT DUT,MO REF,MT REF
330,-58.0,-65.0,-53.0,-54.0
331,-58.0,-64.5,-53.0,-54.0
332,-58.0,-64.0,-53.0,-54.0
333,-58.0,-64.0,-53.0,-55.0
334,-58.0,-64.0,-52.0,-55.0
335,-58.0,-64.0,-52.0,-57.0
336,-58.0,-64.5,-52.0,-57.0
337,-58.0,-65.0,-53.0,-57.0
338,-58.0,-65.0,-53.0,-56.0
339,-58.0,-65.0,-53.0,-56.0
340,-58.0,-66.0,-53.0,-56.0
341,-58.0,-66.0,-53.0,-56.0
342,-58.0,-66.0,-54.0,-56.0
343,-58.0,-66.0,-54.0,-53.0
344,-62.0,-66.0,-54.0,-53.0
345,-62.0,-66.0,-52.0,-54.5
346,-64.0,-66.0,-52.0,-56.0
347,-64.0,-66.0,-51.0,-56.0
348,-64.0,-66.0,-51.0,-56.0
349,-64.0,-66.0,-51.0,-56.0
350,-64.0,-66.0,-53.0,-57.0
351,-63.5,-66.0,-53.0,-57.0
352,-63.0,-66.0,-52.5,-57.0
353,-63.0,-66.0,-52.0,-56.0
354,-63.0,-66.0,-52.0,-56.0
355,-63.0,-66.0,-52.0,-56.0
356,-63.0,-66.0,-52.0,-56.0
357,-63.0,-66.0,-52.0,-56.0
358,-63.0,-66.0,-52.0,-56.0
359,-62.0,-66.0,-52.0,-56.0
360,-62.0,-66.0,-52.0,-56.0
361,-62.0,-66.0,-52.0,-56.0
362,-63.0,-66.0,-52.0,-55.0
363,-63.0,-66.0,-52.0,-55.0
364,-63.0,-66.0,-52.0,-55.0
365,-64.0,-66.0,-52.0,-57.0
366,-64.0,-66.0,-52.0,-57.0
367,-66.0,-68.0,-52.0,-57.0
368,-66.0,-68.0,-52.0,-56.0
369,-64.5,-68.0,-52.0,-56.0
370,-63.0,-68.0,-52.0,-56.0
371,-63.0,-68.0,-52.0,-57.0
372,-64.0,-68.0,-52.0,-57.0
373,-64.0,-68.0,-52.0,-57.0
374,-64.0,-68.0,-52.0,-57.0
375,-64.0,-68.0,-52.0,-57.0
376,-64.0,-69.0,-52.0,-57.0
377,-64.0,-69.0,-52.0,-57.0
378,-64.0,-69.0,-52.0,-57.0
379,-64.0,-69.0,-52.0,-57.0
380,-64.0,-69.0,-52.0,-57.0
381,-64.0,-69.0,-52.0,-57.0
382,-64.0,-69.0,-52.0,-57.0
383,-64.0,-69.0,-52.0,-55.0
384,-64.0,-69.0,-52.0,-55.0
385,-64.0,-69.0,-52.0,-55.0
386,-64.0,-69.0,-52.0,-57.0
387,-64.0,-68.0,-52.0,-57.0
388,-64.0,-68.0,-52.0,-57.0
389,-64.0,-68.0,-52.0,-56.0
390,-64.0,-68.0,-52.0,-56.0
391,-64.0,-68.0,-52.0,-56.0
392,-64.0,-68.0,-52.0,-58.0
393,-64.0,-67.0,-52.0,-58.0
394,-65.0,-67.0,-52.0,-58.0
395,-65.0,-67.0,-52.0,-55.0
396,-65.0,-67.0,-52.0,-55.0
397,-65.0,-67.0,-52.0,-55.0
398,-64.0,-67.0,-52.0,-57.0
399,-64.0,-67.0,-52.0,-57.0
400,-64.0,-67.0,-52.0,-57.0
401,-64.0,-67.0,-52.0,-61.0
402,-64.0,-67.0,-52.0,-61.0
403,-64.0,-67.0,-52.0,-61.0
404,-64.0,-67.0,-52.0,-54.0
405,-64.0,-67.0,-52.0,-54.0
406,-64.0,-67.0,-52.0,-54.0
407,-64.0,-67.0,-53.0,-54.0
408,-64.0,-67.0,-54.0,-54.0
409,-64.0,-67.0,-55.0,-54.0
410,-64.0,-67.0,-55.0,-56.0
411,-64.0,-67.0,-54.0,-56.0
412,-64.0,-67.0,-54.0,-56.0
413,-64.0,-67.0,-54.0,-58.0
414,-64.0,-67.0,-54.0,-58.0
415,-63.0,-67.0,-54.0,-58.0
416,-63.0,-67.0,-54.0,-54.0
417,-63.0,-67.0,-54.0,-54.0
418,-64.0,-67.0,-54.0,-54.0
419,-64.0,-67.0,-54.0,-56.0
420,-64.0,-67.0,-54.0,-56.0
421,-63.0,-67.0,-54.0,-56.0
422,-63.0,-67.0,-54.0,-56.0
423,-63.0,-67.0,-54.0,-56.0
424,-61.0,-67.0,-53.0,-56.0
425,-61.0,-67.0,-53.0,-57.0
426,-61.0,-67.0,-53.0,-57.0
427,-61.0,-67.0,-52.0,-57.0
428,-61.0,-63.0,-52.0,-56.0
429,-61.0,-63.0,-52.0,-56.0
430,-61.0,-63.0,-53.0,-56.0
431,-61.0,-61.0,-53.0,-57.0
432,-61.0,-61.0,-53.5,-57.0
433,-61.0,-61.0,-54.0,-57.0
434,-61.0,-67.0,-54.0,-56.0
435,-61.0,-67.0,-54.0,-56.0
436,-61.0,-67.0,-54.0,-56.0
437,-61.0,-61.0,-54.0,-57.0
438,-61.0,-61.0,-54.0,-57.0
439,-61.0,-61.0,-54.0,-57.0
440,-61.0,-60.0,-54.0,-57.0
441,-61.0,-60.0,-54.0,-57.0
442,-61.0,-60.0,-54.0,-57.0
443,-61.0,-60.0,-54.0,-56.0
444,-61.0,-60.0,-54.0,-56.0
445,-61.0,-60.0,-54.0,-56.0
446,-61.0,-61.0,-54.0,-57.0
447,-61.0,-61.0,-54.0,-57.0
448,-64.0,-61.0,-51.0,-57.0
449,-64.0,-61.0,-51.0,-58.0
450,-64.0,-61.0,-51.0,-58.0
451,-64.0,-61.0,-54.0,-58.0
452,-64.0,-61.0,-54.0,-58.0
453,-64.0,-61.0,-54.0,-57.0
454,-66.0,-61.0,-53.0,-57.0
455,-66.0,-61.0,-53.0,-57.0
456,-66.0,-61.0,-53.0,-58.0
457,-65.0,-61.0,-53.0,-58.0
458,-65.0,-61.0,-53.0,-58.0
459,-65.0,-61.0,-53.0,-57.0
460,-66.0,-61.0,-53.0,-57.0
461,-66.0,-61.0,-53.0,-57.0
462,-66.0,-61.0,-53.0,-57.0
463,-65.0,-61.0,-53.0,-57.0
464,-65.0,-61.0,-53.0,-57.0
465,-65.0,-61.0,-53.0,-59.0
466,-64.0,-61.0,-53.0,-59.0
467,-64.0,-61.0,-53.0,-59.0
468,-64.0,-61.0,-53.0,-59.0
469,-63.0,-61.0,-53.0,-59.0
470,-63.0,-61.0,-53.0,-59.0
471,-63.0,-61.0,-53.0,-57.0
472,-63.0,-61.0,-53.0,-57.0
473,-63.0,-61.0,-53.0,-57.0
474,-63.0,-61.0,-53.0,-56.0
475,-63.0,-61.0,-53.0,-56.0
476,-63.0,-61.0,-53.0,-56.0
477,-63.0,-61.0,-53.0,-56.0
478,-63.0,-61.0,-53.0,-56.0
479,-63.0,-61.0,-53.0,-56.0
