[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
,,,,,,187,,,
LTE (20 MHz),-95.360000,186,,,,,,,
LTE (20 MHz),-95.890000,186,,,,,,,
LTE (20 MHz),-95.630000,186,,,,,,,
LTE (20 MHz),-95.760000,186,,,,,,,
LTE (20 MHz),-95.960000,186,,,,,,,
LTE (20 MHz),-95.670000,186,,,,,,,
LTE (20 MHz),-95.510000,186,,,,,,,
LTE (20 MHz),-96.030000,186,,,,,,,
LTE (20 MHz),-95.830000,186,,,,,,,
LTE (20 MHz),-95.410000,186,,,,,,,
LTE (20 MHz),-97.410000,186,,,,,,,
LTE (20 MHz),-97.450000,186,,,,,,,
LTE (20 MHz),-97.570000,186,,,,,,,
LTE (20 MHz),-97.490000,186,,,,,,,
LTE (20 MHz),-97.570000,186,,,,,,,
LTE (20 MHz),-97.490000,186,,,,,,,
LTE (20 MHz),-97.410000,186,,,,,,,
,,,,,,,,3.882752,0.060021
LTE (20 MHz),-97.700000,186,,,,,,,
LTE (20 MHz),-97.500000,186,,,,,,,
LTE (20 MHz),-97.300000,186,,,,,,,
LTE (20 MHz),-97.260000,186,,,,,,,
LTE (20 MHz),-97.120000,186,,,,,,,
LTE (20 MHz),-96.950000,186,,,,,,,
LTE (20 MHz),-96.800000,186,,,,,,,
LTE (20 MHz),-96.920000,186,,,,,,,
LTE (20 MHz),-97.310000,186,,,,,,,
LTE (20 MHz),-97.450000,186,,,,,,,
LTE (20 MHz),-97.750000,186,,,,,,,
LTE (20 MHz),-98.090000,186,,,,,,,
LTE (20 MHz),-97.950000,186,,,,,,,
LTE (20 MHz),-97.900000,186,,,,,,,
LTE (20 MHz),-97.920000,186,,,,,,,
LTE (20 MHz),-97.910000,186,,,,,,,
LTE (20 MHz),-98.310000,186,,,,,,,
LTE (20 MHz),-98.460000,186,,,,,,,
LTE (20 MHz),-98.560000,186,,,,,,,
LTE (20 MHz),-98.470000,186,,,,,,,
,,,,,,,,3.819624,0.070563
LTE (20 MHz),-98.270000,186,,,,,,,
LTE (20 MHz),-95.380000,186,,,,,,,
LTE (20 MHz),-94.660000,186,,,,,,,
LTE (20 MHz),-94.680000,186,,,,,,,
LTE (20 MHz),-94.670000,186,,,,,,,
LTE (20 MHz),-94.750000,186,,,,,,,
LTE (20 MHz),-94.760000,186,,,,,,,
LTE (20 MHz),-94.320000,186,,,,,,,
LTE (20 MHz),-94.750000,186,,,,,,,
LTE (20 MHz),-95.050000,186,,,,,,,
LTE (20 MHz),-94.450000,186,,,,,,,
LTE (20 MHz),-94.760000,186,,,,,,,
LTE (20 MHz),-94.690000,186,,,,,,,
LTE (20 MHz),-94.580000,186,,,,,,,
LTE (20 MHz),-94.680000,186,,,,,,,
LTE (20 MHz),-94.050000,186,,,,,,,
LTE (20 MHz),-94.310000,186,,,,,,,
LTE (20 MHz),-93.940000,186,,,,,,,
LTE (20 MHz),-94.330000,186,,,,,,,
LTE (20 MHz),-94.220000,186,,,,,,,
