[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-110.220000,-1.980000,,,,,,,,,92.711,,,173.999000,
,,,,,,,,,,,,,,,,Download End Request,,,,,
,,,,,,,,,,,,,,,,Download Ended,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,4,872,-111.270000,-2.680000,,,,,,,,,,,,157.441000,
,,,N25(20)+N71(20)+N41(100)+N41(90),,4,872,-109.770000,-1.330000,,,,,,,,,,,,51.038000,0.170000
,,,N25(20)+N71(20)+N41(100)+N41(90),,4,872,-108.470000,0.340000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),,3,872,-109.680000,-2.080000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),,3,872,-107.760000,-0.420000,,,,,,,,,,,,0.079000,0.001000
,,,N25(20)+N71(20)+N41(100)+N41(90),,2,872,-107.850000,-0.120000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),,2,872,-108.850000,-0.550000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),,2,872,-108.660000,-0.180000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),,2,872,-108.860000,-1.100000,,,,,,,,,,,,,
,,,N25(10)+N71(x)+N41(x)+N41(x),,2,670,-106.480000,-1.100000,,,,,,,,,,,,,
,,,N25(10),,1,670,-105.040000,-0.170000,,,,,,,,,,,,,
,,,N25(10),,1,670,-105.090000,-1.670000,,,,,,,,,,,,,
,,,N25(10),,1,670,-104.920000,-1.720000,,,,,,,,,,,,,
,,,N25(10),,0,670,-105.190000,-2.390000,,,,,,,,,,,,,
,,,N25(10),,1,670,-105.910000,-3.600000,,,,,,,,,,,,,
,,,N25(20),,1,670,-108.880000,-5.250000,,,,,,,,,,,,,
,,,N25(20),,1,670,-108.890000,-5.000000,,,,,,,,,,,,0.037000,0.040000
,,,N25(20),,1,670,-109.550000,-4.740000,,,,,,,,,,,,0.020000,0.002000
,,,N25(20),,1,670,-110.060000,-4.870000,,,,,,,,,,,,,
,,,N25(20),,1,670,-110.010000,-6.500000,,,,,,,,,,,,,
,,,N25(20),,1,670,-109.310000,-5.270000,,,,,,,,,,,,,
,,,N25(20),,1,670,-109.820000,-5.270000,,,,,,,,,,,,,
,,,N25(20),,1,670,-109.190000,-4.090000,,,,,,,,,,,,,
,,,N25(20),,1,670,-108.890000,-5.260000,,,,,,,,,,,,,
,,,N25(20),,1,670,-109.790000,-6.390000,,,,,,,,,,,,,
,,,N25(20),,1,670,-109.620000,-6.630000,,,,,,,,,,,,,
,,,N25(20),,1,670,-109.900000,-6.280000,,,,,,,,,,,,,
,,,N25(20),,1,670,-110.280000,-6.330000,,,,,,,,,,,,,
,,,N25(20),,1,670,-109.390000,-5.090000,,,,,,,,,,,,,
,,,N25(20),,1,670,-111.090000,-7.830000,,,,,,,,,,,,,
,,,N25(20),,1,670,-112.310000,-9.440000,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.960000,0.770000,,,,,,,,,,,,,
,,,N25(20),,1,872,-106.040000,1.570000,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.850000,1.120000,,,,,,,,,,,,,
,,,N25(20),,1,872,-105.820000,1.060000,,,,,,,,,,,,,
