IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc),[NR5G] [RF] RSRP
40,1,,,-121.9314830,47.5244923,2026-01-26 23:56:26.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-117.100000
41,1,,,-121.9314830,47.5244923,2026-01-26 23:56:27.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-117.300000
42,1,,,-121.9314830,47.5244923,2026-01-26 23:56:28.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-117.110000
43,1,,,-121.9314830,47.5244923,2026-01-26 23:56:29.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-116.960000
44,1,,,-121.9314830,47.5244923,2026-01-26 23:56:30.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-117.940000
45,1,,,-121.9314830,47.5244923,2026-01-26 23:56:31.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-116.810000
46,1,,,-121.9314830,47.5244923,2026-01-26 23:56:32.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-116.810000
47,1,,,-121.9314830,47.5244923,2026-01-26 23:56:33.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-117.520000
48,1,,,-121.9314830,47.5244923,2026-01-26 23:56:34.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-117.390000
49,1,,,-121.9314830,47.5244923,2026-01-26 23:56:35.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-118.010000
50,1,,,-121.9314830,47.5244923,2026-01-26 23:56:36.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-118.140000
51,1,,,-121.9314830,47.5244923,2026-01-26 23:56:37.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-118.370000
52,1,,,-121.9314830,47.5244923,2026-01-26 23:56:38.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-118.030000
53,1,,,-121.9314830,47.5244923,2026-01-26 23:56:39.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-117.930000
54,1,,,-121.9314830,47.5244923,2026-01-26 23:56:40.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-117.740000
55,1,,,-121.9314830,47.5244923,2026-01-26 23:56:41.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-118.800000
56,1,,,-121.9314830,47.5244923,2026-01-26 23:56:42.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-118.710000
57,1,,,-121.9314830,47.5244923,2026-01-26 23:56:43.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-117.280000
58,1,,,-121.9314830,47.5244923,2026-01-26 23:56:44.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-116.720000
59,1,,,-121.9314830,47.5244923,2026-01-26 23:56:45.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-117.070000
60,1,,,-121.9314830,47.5244923,2026-01-26 23:56:46.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-118.350000
61,1,,,-121.9314830,47.5244923,2026-01-26 23:56:47.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-120.530000
62,1,,,-121.9314830,47.5244923,2026-01-26 23:56:48.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-118.310000
63,1,,,-121.9314830,47.5244923,2026-01-26 23:56:49.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-116.090000
64,1,,,-121.9314830,47.5244923,2026-01-26 23:56:50.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-115.260000
65,1,,,-121.9314830,47.5244923,2026-01-26 23:56:51.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-115.310000
66,1,,,-121.9314830,47.5244923,2026-01-26 23:56:52.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,Disconnected,,,,,,,NR (NR_SA),-118.040000
67,1,,,-121.9314830,47.5244923,2026-01-26 23:56:53.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-119.830000
68,1,,,-121.9314830,47.5244923,2026-01-26 23:56:54.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-123.350000
69,1,,,-121.9314830,47.5244923,2026-01-26 23:56:55.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-122.250000
70,1,,,-121.9314830,47.5244923,2026-01-26 23:56:56.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-122.000000
71,1,,,-121.9314830,47.5244923,2026-01-26 23:56:57.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-123.350000
72,1,,,-121.9314830,47.5244923,2026-01-26 23:56:58.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-122.750000
73,1,,,-121.9314830,47.5244923,2026-01-26 23:56:59.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-120.500000
74,1,,,-121.9314830,47.5244923,2026-01-26 23:57:00.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-119.510000
75,1,,,-121.9314830,47.5244923,2026-01-26 23:57:01.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-116.900000
76,1,,,-121.9314830,47.5244923,2026-01-26 23:57:02.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-117.850000
77,1,,,-121.9314830,47.5244923,2026-01-26 23:57:03.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-118.780000
78,1,,,-121.9314830,47.5244923,2026-01-26 23:57:04.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-119.230000
79,1,,,-121.9314830,47.5244923,2026-01-26 23:57:05.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-116.990000
80,1,,,-121.9314830,47.5244923,2026-01-26 23:57:06.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-118.650000
81,1,,,-121.9314830,47.5244923,2026-01-26 23:57:07.000,_20260126_155559_CH01_TMO_5GNR_WFC_DUT_TC-178-R2.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,On,Disconnected,,,,,,,NR (NR_SA),-120.510000
