[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-95.380000,12.430000,,,,,,,,,,,,,0.000,0.314
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-95.340000,12.580000,,,,,,,,,,,,,0.261,0.558
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-97.350000,12.250000,,,,,,,,,,,,,0.000,0.001
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-94.380000,13.490000,,,,,,,,,,,,,0.000,0.325
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-94.050000,14.650000,,,,,,,,,,,,,0.000,0.102
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-97.820000,10.990000,,,,,,,,,,,,,0.010,0.250
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,266,-97.600000,12.190000,,,,,,,,,,,,,0.039,0.029
,,,N41(40),NR SA,266,-98.930000,14.280000,,,,,,,,,,,,,0.004,0.091
,,,N41(40),NR SA,266,-97.660000,12.910000,,,,,,,,,,,,,0.119,0.171
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.220000,12.190000,,,,,,,,,,,,,0.350,0.267
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-95.340000,15.250000,,,,,,,,,,,,,0.026,0.099
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.970000,10.930000,,,,,,,,,,,,,0.004,0.094
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.120000,9.740000,,,,,,,,,,,,,0.000,0.001
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.490000,5.440000,,,,,,,,,,,,,0.000,0.010
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.440000,13.700000,,,,,,,,,,,,,0.430,0.382
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-96.560000,10.990000,,,,,,,,,,,,,128.638,1.379
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-100.200000,12.870000,,,,,,,,,,,,,391.100,2.435
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.500000,13.610000,,,,,,,,,,,,,308.288,2.890
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.920000,13.510000,,,,,,,,,,,,,318.519,2.962
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-98.560000,10.810000,,,,,,,,,,,,,0.000,1.550
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-97.290000,10.770000,,,,,,,,,,,,,0.064,0.253
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-99.180000,13.850000,,,,,,,,,,,,,0.321,0.414
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-94.400000,10.290000,,,,,,,,,,,,,0.000,
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-95.680000,11.140000,,,,,,,,,,,,,0.000,0.266
,,,N41(40)+N71(x)+N25(x)+N41(x),NR SA,266,-95.070000,12.100000,,,,,,,,,,,,,0.000,0.281
,,,N41(40)+N71(x)+N25(x)+N41(x)+N41(x),NR SA,266,-96.320000,10.170000,,,,,,,,,,,,,0.013,0.058
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,266,-97.470000,14.420000,,,,,,,,,,,,,0.001,0.050
,,,N41(40),NR SA,266,-99.060000,14.200000,,,,,,,,,,,,,0.005,0.055
,,,N41(40),NR SA,266,-97.630000,14.520000,,,,,,,,,,,,,0.075,0.184
,,,N41(40),NR SA,266,-96.600000,16.490000,,,,,,,,,,,,,0.222,0.276
,,,N41(40),NR SA,266,-97.190000,16.030000,,,,,,,,,,,,,0.145,0.078
,,,N41(40),NR SA,266,-96.930000,15.800000,,,,,,,,,,,,,0.002,0.056
,,,N41(40),NR SA,266,-96.580000,17.980000,,,,,,,,,,,,,0.002,0.001
,,,N41(40),NR SA,266,-96.820000,20.150000,,,,,,,,,,,,,0.000,
